AREA_ACRE,Lam_X,Lam_Y,Yr
85.8415,3003651.184,3067494.292,2012
95.0309,3003718.072,3065835.27,2012
94.4052,2911673.605,3058376.24,2012
136.698,2914120.205,3058536.909,2012
150.777,2917191.728,3058147.701,2012
118.181,2923389.143,3058637.479,2012
143.203,2927340.425,3058664.027,2012
102.396,2903770.336,3050560.706,2012
101.586,2929981.316,3039965.193,2012
130.782,2969508.881,3034807.57,2012
16.9776,3044830.682,3028592.739,2012
12.9305,3045802.226,3028645.526,2012
83.5432,3054475.899,3023287.861,2012
83.7594,2837877.946,3289583.413,2012
44.0411,2839684.803,3283014.11,2012
104.129,2835348.478,3278853.76,2012
37.9618,2837156.063,3278194.593,2012
105.023,2838613.514,3278844.171,2012
132.483,2837943.894,3281249.21,2012
14.5197,2836756.134,3282317.991,2012
42.3942,2839766.361,3280973.57,2012
11.4643,2840022.758,3279605.097,2012
10.8092,2840038.314,3278668.486,2012
237.416,2842160.715,3277643.912,2012
156.854,2842240.046,3273519.869,2012
33.1559,2840111.48,3272821.82,2012
160.995,2838089.852,3276181.349,2012
75.7497,2835913.167,3276413.38,2012
175.301,2837997.787,3273412.823,2012
3.89159,2833336.929,3274587.21,2012
99.6858,2833785.426,3273151.062,2012
78.8121,2835236.378,3273432.57,2012
63.9874,2833376.739,3271342.254,2012
12.8769,2831725.708,3269804.494,2012
39.8444,2832845.363,3269816.38,2012
43.1657,2831770.545,3268557.826,2012
32.2063,2832869.86,3268529.034,2012
40.7888,2832899.581,3267178.771,2012
16.8514,2831584.096,3265522.526,2012
75.2842,2834197.783,3269103.174,2012
86.1646,2834374.52,3266674.35,2012
41.8727,2838330.86,3266221.582,2012
42.9845,2838193.412,3269856.476,2012
40.2696,2838210.361,3268407.47,2012
48.2752,2835512.597,3271291.287,2012
87.7917,2837835.986,3271394.619,2012
30.6457,2839674.088,3271187.875,2012
48.4366,2840822.321,3271370.251,2012
44.6991,2839525.633,3269861.027,2012
42.1933,2839532.417,3268420.012,2012
71.9482,2839532.297,3266705.207,2012
128.005,2841570.756,3266872.197,2012
146.135,2841512.408,3269344.908,2012
49.3025,2843011.48,3271590.947,2012
46.7692,2855977.685,3261665.553,2012
125.212,2845272.654,3264146.75,2012
140.268,2840217.508,3264038.075,2012
47.1946,2839455.124,3261991.891,2012
33.59,2838312.808,3261598.166,2012
40.3551,2840789.263,3262075.513,2012
33.3911,2839539.549,3260387.664,2012
32.8907,2838341.942,3260399.345,2012
64.4097,2836667.171,3261606.225,2012
92.8177,2834717.101,3261525.554,2012
22.8536,2834245.355,3260091.114,2012
21.1887,2835402.599,3260154.907,2012
37.7498,2836912.114,3263268.181,2012
38.0424,2836867.045,3264647.291,2012
63.1259,2838305.029,3264033.405,2012
76.0657,2832945.493,3263825.93,2012
42.7321,2831602.501,3264519.909,2012
43.1243,2831611.125,3263178.861,2012
103.631,2832518.149,3260969.574,2012
46.7,2830513.969,3258867.671,2012
138.496,2832358.75,3258547.668,2012
139.289,2832401.707,3255907.2,2012
120.778,2834884.827,3258461.732,2012
120.448,2834964.646,3256934.019,2012
22.2941,2836691.077,3259058.785,2012
133.961,2838960.423,3258642.168,2012
55.3735,2840721.058,3258375.433,2012
60.7765,2838354.809,3255051.535,2012
122.933,2840194.363,3256207.768,2012
52.1111,2848670.706,3250454.349,2012
117.688,2845442.671,3252146.974,2012
38.7857,2840841.02,3252732.6,2012
85.3721,2839980.56,3251878.166,2012
103.925,2841368.278,3250713.139,2012
40.4217,2839384.191,3250116.828,2012
74.2641,2834844.284,3252245.589,2012
47.8685,2836012.475,3252036.385,2012
26.0698,2832929.197,3253846.379,2012
74.641,2838683.109,3244998.986,2012
23.6544,2839578.607,3246035.846,2012
72.2452,2838935.035,3247037.689,2012
29.0328,2838865.485,3248676.102,2012
10.6318,2839699.216,3248934.473,2012
26.5588,2840769.684,3248705.889,2012
40.2528,2842107.567,3248780.077,2012
97.5692,2841158.497,3246951.882,2012
34.8024,2848098.618,3248830.528,2012
25.6814,2847495.501,3247441.561,2012
18.0955,2847503.217,3246046.537,2012
144.27,2845450.024,3240974.078,2012
90.0991,2844325.668,3243516.369,2012
93.8488,2842652.752,3242313.05,2012
45.9444,2841938.067,3240856.701,2012
46.0085,2840795.89,3239857.117,2012
41.9885,2838407.198,3243242.876,2012
68.353,2836902.689,3242628.658,2012
68.7228,2762588.901,2564706.053,2012
174.91,2845293.238,2568919.588,2012
135.039,2849243.768,2574603.911,2012
128.92,2849255.438,2571928.764,2012
131.149,2854479.225,2574311.426,2012
117.504,2851854.385,2570399.573,2012
95.2549,2851631.312,2567214.392,2012
95.6932,2853869.036,2568284.323,2012
24.8811,2855621.936,2568216.922,2012
27.3403,2855618.576,2567009.441,2012
189.516,2831194.135,2564263.179,2012
175.127,2835314.913,2564469.357,2012
164.347,2835425.771,2561592.471,2012
17.8331,2837143.707,2562572.07,2012
17.8709,2837178.768,2561086.33,2012
147.347,2838802.487,2561726.94,2012
133.438,2838785.657,2564202.102,2012
56.3518,2844803.356,2561081.221,2012
124.002,2845401.936,2563950.683,2012
40.3134,2845996.132,2565920.835,2012
127.096,2847949.886,2565145.746,2012
47.8204,2851297.485,2564876.023,2012
66.4755,2854229.44,2563513.373,2012
132.553,2859632.39,2562465.526,2012
46.4142,2861858.679,2561858.982,2012
33.7075,2861617.197,2560417.854,2012
40.8526,2860244.849,2560461.197,2012
63.3687,2861518.673,2558497.704,2012
18.9735,2861646.553,2556730.766,2012
49.0736,2856242.286,2560108.72,2012
109.636,2828109.066,2560235.826,2012
49.7093,2848665.515,2562332.19,2012
83.9406,2810647.046,2559342.988,2012
91.4441,2815421.071,2557288.964,2012
307.358,2810982.224,2555405.372,2012
127.319,2807756.919,2555046.778,2012
32.5143,2805894.568,2555727.435,2012
37.1859,2805826.551,2554469.087,2012
102.485,2798635.945,2558479.498,2012
159.826,2802583.858,2555438.088,2012
224.685,2800274.236,2556334.271,2012
135.434,2790659.884,2555471.72,2012
202.212,2786852.631,2555766.615,2012
74.8163,2783715.949,2555715.1,2012
80.2624,2773349.158,2558166.392,2012
101.569,2768708.406,2558770.062,2012
103.095,2766548.78,2558883.934,2012
149.1,2763685.173,2560059.153,2012
130.234,2761052.607,2560084.683,2012
66.5726,2757744.046,2560908.331,2012
63.5361,2755951.708,2559981.156,2012
54.4759,2761089.213,2561983.938,2012
37.4871,2753669.053,2558329.301,2012
28.2218,2755130.449,2558096.403,2012
120.405,2757011.179,2557403.793,2012
56.5872,2759214.304,2558294.639,2012
173.831,2750201.4,2553733.179,2012
246.403,2755690.909,2553770.227,2012
243.269,2759090.001,2552843.263,2012
37.3446,2757448.738,2555551.331,2012
56.3161,2759579.719,2555592.455,2012
127.216,2764829.629,2556767.012,2012
144.004,2767501.986,2555982.473,2012
119.199,2770142.445,2555907.033,2012
120.056,2772796.249,2555863.759,2012
79.1805,2774768.607,2556307.482,2012
141.685,2762175.712,2553456.693,2012
139.876,2764800.063,2553400.898,2012
33.4543,2764049.773,2551481.152,2012
113.396,2765974.671,2550775.295,2012
68.0121,2766832.914,2552985.823,2012
65.6293,2768784.527,2554038.387,2012
157.383,2770338.094,2551757.047,2012
107.28,2774644,2553929.932,2012
148.151,2779108.526,2551711.369,2012
151.794,2785859.629,2552940.886,2012
142.049,2788598.789,2552858.709,2012
295.141,2792572.876,2552132.387,2012
242.016,2796500.516,2552082.011,2012
110.828,2802357.631,2551420.677,2012
155.475,2807387.603,2552599.135,2012
98.5625,2748080.01,2548479.77,2012
120.014,2751052.444,2549658.779,2012
75.9537,2753377.929,2548417.378,2012
102.322,2755720.514,2548418.926,2012
132.679,2761172.931,2548847.53,2012
148.737,2764718.988,2548186.149,2012
37.0481,2765522.637,2543485.795,2012
40.4396,2762671.051,2544895.818,2012
38.6212,2762643.712,2543568.76,2012
38.5708,2762626.43,2542277.572,2012
35.6022,2758779.76,2546176.155,2012
25.3866,2757464.296,2546329.248,2012
31.7362,2756214.512,2546278.117,2012
40.3455,2754855.718,2546399.385,2012
35.347,2757399.718,2543780.546,2012
24.3732,2757486.557,2542411.48,2012
87.2718,2754976.371,2543311.265,2012
143.511,2749498.701,2544560.885,2012
77.4199,2747376.186,2545805.549,2012
74.3731,2747270.284,2543385.655,2012
83.1087,2753120.673,2540710.983,2012
30.0227,2751557.192,2541202.648,2012
24.9008,2751135.898,2540083.658,2012
64.2588,2755968.283,2539242.902,2012
21.392,2757288.645,2538463.315,2012
134.814,2750405.908,2536538.702,2012
45.4239,2747515.418,2536267.913,2012
129.743,2745833.554,2535077.214,2012
102.974,2748263.418,2534000.474,2012
135.958,2745664.023,2532453.436,2012
114.446,2742781.121,2532982.155,2012
145.641,2740072.982,2533016.323,2012
57.0697,2738224.21,2533075.937,2012
33.3337,2738127.756,2535020.805,2012
100.533,2736340.069,2532880.873,2012
150.125,2736060.598,2530533.466,2012
129.409,2738781.788,2530397.227,2012
102.971,2742481.353,2530078.725,2012
70.0331,2740773.833,2530386.987,2012
117.081,2745884.254,2529608.498,2012
135.792,2742671.872,2527734.606,2012
39.7893,2852640.515,2562961.741,2012
82.2942,2734338.529,2538519.978,2012
117.335,2727270.189,2538604.25,2012
240.955,2725918.527,2536218.601,2012
175.557,2723680.5,2533794.293,2012
125.056,2727282.818,2533248.796,2012
331.686,2730117.189,2534582.93,2012
120.797,2733180.934,2535918.462,2012
314.317,2723849.564,2529910.044,2012
69.7448,2726478.99,2529534.101,2012
258.744,2728696.518,2530125.491,2012
84.4362,2726244.739,2527539.661,2012
44.5403,2729166.718,2527414.71,2012
81.6718,2731933.269,2530905.236,2012
74.6707,2733132.545,2530267.203,2012
75.5128,2731666.988,2527934.116,2012
46.4796,2733159.761,2527023.285,2012
200.554,2735297.371,2528063.298,2012
141.738,2740011.658,2527776.681,2012
38.3819,2744624.449,2526998.677,2012
39.3334,2747130.456,2526946.283,2012
56.3365,2765066.744,2527209.208,2012
117.603,2762849.204,2524525.215,2012
83.2346,2759120.951,2520985.909,2012
88.2754,2757098.36,2521200.285,2012
139.204,2754884.898,2522091.453,2012
139.081,2753158.71,2522145.912,2012
98.5827,2755139.363,2525032.46,2012
129.536,2750410.25,2522206.295,2012
68.3735,2742601.925,2525619.303,2012
40.2699,2740646.262,2525742.81,2012
75.2396,2739389.274,2525127.818,2012
179.054,2735304.241,2525255.241,2012
132.59,2732376.793,2525312.726,2012
110.098,2735792.054,2522579.833,2012
177.235,2732951.917,2522646.481,2012
76.7481,2729704.862,2525925.31,2012
39.3591,2726420.075,2526375.542,2012
233.335,2723060.547,2524617.204,2012
120.575,2720303.978,2525631.844,2012
99.4903,2728038.947,2520572.235,2012
144.011,2727729.223,2517498.001,2012
68.7576,2731361.538,2520108.802,2012
124.542,2733314.062,2520177.111,2012
134.533,2735946.779,2519898.164,2012
44.4088,2735782.965,2517969.771,2012
40.9787,2741839.055,2519110.667,2012
173.734,2747245.819,2516955.361,2012
138.065,2749227.056,2519841.854,2012
65.7969,2750977.779,2519578.78,2012
130.842,2750271.225,2516926.768,2012
78.7215,2752947.704,2519196.393,2012
78.5283,2755041.9,2519153.744,2012
54.8188,2756658.481,2519087.691,2012
64.4278,2752551.267,2517343.429,2012
55.2841,2755494.544,2516784.081,2012
133.591,2753423.787,2515541.402,2012
83.1816,2757590.505,2516459.333,2012
39.0747,2759131.243,2514926.822,2012
102.038,2757087.864,2513946.913,2012
42.4472,2755364.785,2513554.733,2012
37.8439,2753927.916,2513566.977,2012
36.906,2752466.125,2513640.025,2012
40.2412,2752586.872,2512263.762,2012
38.2954,2753987.505,2512248.967,2012
75.0931,2753785.43,2510708.773,2012
74.5249,2752358.835,2510203.824,2012
41.9845,2750960.367,2514955.304,2012
40.5726,2750155.524,2514956.796,2012
38.7378,2747001.472,2515044.348,2012
100.132,2748701.823,2512916.39,2012
130.93,2746346.749,2513024.813,2012
140.525,2748890.862,2510361.681,2012
28.989,2746968.218,2511093.372,2012
133.725,2744936.327,2510384.536,2012
27.8907,2745699.762,2515035.598,2012
121.914,2739786.48,2511900.397,2012
32.9633,2738058.449,2511227.945,2012
135.319,2733224.503,2514762.303,2012
99.6922,2729081.381,2515901.064,2012
96.4245,2719428.492,2508598.062,2012
80.2787,2725488.026,2507128.589,2012
67.1316,2729052.094,2506242.201,2012
21.6483,2732270.787,2510329.9,2012
20.5086,2732257.438,2509502.785,2012
20.6059,2732238.382,2508662.224,2012
37.8719,2731106.938,2509009.102,2012
41.261,2731085.448,2507567.373,2012
17.5654,2732361.071,2507713.396,2012
36.6528,2733040.091,2506185.719,2012
25.4528,2733809.271,2507040.6,2012
126.774,2735751.815,2506875.036,2012
293.901,2738983.133,2507415.582,2012
165.799,2742270.617,2507602.486,2012
148.598,2744887.848,2507814.453,2012
29.4569,2746865.499,2507535.599,2012
29.2046,2746906.004,2508622.696,2012
29.3303,2746933.291,2509718.281,2012
33.9015,2745493.987,2505312.155,2012
11.7512,2748017.616,2507325.382,2012
11.6688,2748857.363,2507305.959,2012
11.7172,2749701.487,2507286.906,2012
26.5411,2748087.953,2506257.028,2012
101.148,2749368.708,2505291.099,2012
31.1385,2754346.784,2509363.832,2012
71.2661,2753007.586,2508347.636,2012
119.311,2755055.373,2507730.694,2012
131.126,2754677.546,2505490.401,2012
72.2222,2753870.758,2503821.642,2012
60.6157,2752243.177,2501059.01,2012
157.561,2752485.051,2499474.173,2012
125.092,2750096.991,2501186.953,2012
42.3774,2748105.668,2501883.113,2012
29.2754,2748122.817,2503312.419,2012
29.1439,2748140.232,2504691.056,2012
44.1885,2744146.809,2503313.428,2012
138.359,2742237.021,2503935.942,2012
65.4419,2742219.914,2502043.807,2012
40.6239,2740230.53,2503371.429,2012
28.7969,2738858.482,2503535.547,2012
64.4399,2738294.999,2504650.402,2012
505.805,2735588.677,2502792.689,2012
116.767,2730452.096,2500220.878,2012
143.747,2726452.655,2502484.833,2012
186.684,2727651.265,2500583.074,2012
112.782,2721373.105,2500357.977,2012
62.9967,2714283.571,2499794.034,2012
120.234,2716123.261,2498737.41,2012
156.895,2718091.627,2498972.578,2012
126.653,2725037.277,2499204.009,2012
128.473,2727619.256,2496428.708,2012
36.3377,2728320.619,2498414.529,2012
28.8659,2729625.375,2498301.59,2012
38.1326,2729653.142,2496935.454,2012
91.86,2731856.933,2497956.802,2012
38.2034,2730923.071,2497015.348,2012
32.0918,2730970.039,2495745.244,2012
39.2697,2732199.702,2495694.968,2012
112.106,2734160.357,2496418.494,2012
134.526,2738106.991,2497556.15,2012
87.9018,2741846.092,2496294.387,2012
297.286,2745415.289,2499285.869,2012
36.6292,2748036.207,2499488.384,2012
27.3449,2740004.701,2499331.016,2012
37.0174,2740118.794,2498284.023,2012
28.1929,2740100.525,2497000.862,2012
24.7265,2860329.646,2565054.972,2012
13.1239,2861627.855,2565340.015,2012
329.424,3338111.519,2677899.444,2012
90.1633,3362933.117,2684964.022,2012
127.429,3413853.863,2677924.43,2012
151.522,3384598.492,2677283.706,2012
146.798,3384610.88,2674619.809,2012
128.944,3387286.081,2674643.693,2012
136.785,3373897.317,2679536.375,2012
76.3108,3371156.574,2676379.64,2012
165.208,3349734.353,2676800.25,2012
158.554,3344356.337,2676753.221,2012
89.1554,3343639.87,2679242.07,2012
108.937,3373900.468,2674276.386,2012
146.143,3413769.084,2667279.158,2012
137.687,3389998.296,2669373.539,2012
141.478,3374695.215,2669004.803,2012
438.566,3354379.966,2667713.746,2012
187.494,3318545.937,2661769.433,2012
103.591,3363613.995,2663628.098,2012
393.449,3381230.951,2662110.082,2012
132.056,3384792.625,2661236.03,2012
283.935,3426780.463,2658850.106,2012
127.593,3423522.206,2656943.805,2012
95.1817,3390489.356,2658617.055,2012
133.817,3387456.093,2658709.025,2012
168.475,3348118.206,2655272.617,2012
111.405,3339693.337,2650978.925,2012
178.724,3343235.972,2652357.331,2012
135.746,3422321.296,2654261.18,2012
138.194,3422438.839,2648977.321,2012
155.298,3392887.465,2648203.342,2012
125.645,3361116.648,2647613.253,2012
33.451,3359090.775,2648115.443,2012
64.9295,3361173.798,2645480.472,2012
304.3,3354882.085,2645938.433,2012
121.415,3342445.857,2647119.24,2012
298.287,3332770.73,2647676.166,2012
528.551,3354669.843,2635473.832,2012
513.528,3344181.199,2629899.192,2012
138.254,3423044.773,2627673.852,2012
99.5009,3385522.757,2626924.406,2012
120.149,3327803.174,2617332.574,2012
120.576,3330404.788,2617356.052,2012
113.437,3327866.158,2614706.789,2012
135.739,3330483.85,2614714.785,2012
194.635,3301334.955,2588982.428,2012
153.541,3302365.933,2586738.943,2012
120.18,3313489.65,2564384.672,2012
31.081,3314238.83,2562463.851,2012
129.133,3392701.512,2664143.654,2012
162.337,3382465.851,2640073.253,2012
133.41,3377135.756,2640012.926,2012
150.729,3353291.81,2639446.595,2012
360.024,3404167.701,2657972.346,2012
107.736,3291842.238,2683108.768,2012
92.828,3359213.739,2676914.801,2012
59.9114,3411698.625,2667201.291,2012
91.7095,3392911.715,2661651.338,2012
93.2259,3363876.013,2644942.819,2012
35.8178,3551693.632,2320231.981,2012
32.7252,3552648.324,2320816.819,2012
35.6495,3553290.219,2321182.782,2012
65.3546,3528690.929,2287468.732,2012
136.276,3530705.779,2282264.877,2012
118.307,3528087.837,2282154.588,2012
74.5865,3518974.981,2279231.252,2012
56.2547,3523875.228,2280103.621,2012
131.9,3525744.459,2276957.37,2012
129.349,3528253.455,2279606.078,2012
156.73,3530832.533,2279725.676,2012
142.344,3528310.053,2277037.877,2012
159.696,3530945.279,2277115.486,2012
22.0132,3532557.288,2279272.396,2012
100.412,3533169.896,2274520.052,2012
101.68,3534077.173,2271351.11,2012
142.205,3531214.177,2271759.707,2012
149.778,3528543.154,2271710.944,2012
154.399,3528479.969,2274369.868,2012
143.589,3531103.145,2274441.401,2012
163.76,3525650.932,2274157.324,2012
